time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-15T17:52:48.820Z,38.8206673,-122.8221664,1.91,0.26,md,6,84,0.009831,0.02,nc,nc73901441,2023-06-15T17:54:21.987Z,"8km NW of The Geysers, CA",earthquake,0.46,1.74,0.11,8,automatic,nc,nc
2023-06-15T17:40:19.670Z,38.7953339,-122.7693329,3.83,0.72,md,12,89,0.01468,0.02,nc,nc73901436,2023-06-15T18:38:13.608Z,"2km NNW of The Geysers, CA",earthquake,0.46,0.9,0.37,11,automatic,nc,nc
2023-06-15T17:35:19.790Z,58.24,-155.144333333333,3.96,-0.04,ml,5,256,,0.12,av,av91926691,2023-06-15T18:13:48.940Z,"85 km NNW of Karluk, Alaska",earthquake,0.91,0.69,0.140021488485421,5,reviewed,av,av
2023-06-15T17:35:14.940Z,40.4845,-124.532,17.03,2.58,md,30,265,0.1486,0.14,nc,nc73901431,2023-06-16T00:52:12.804Z,"25km WSW of Ferndale, CA",earthquake,0.79,0.36,0.173,37,reviewed,nc,nc
2023-06-15T17:32:17.070Z,38.8188324,-122.8193359,2.45,0.34,md,6,173,0.00855,0,nc,nc73901426,2023-06-15T18:25:13.522Z,"7km NW of The Geysers, CA",earthquake,0.62,0.93,0.16,7,automatic,nc,nc
2023-06-15T17:22:39.130Z,47.241,-113.191666666667,14.08,2.56,ml,25,77,0.1642,0.15,mb,mb90018383,2023-06-15T20:09:31.360Z,"23 km ENE of Seeley Lake, Montana",earthquake,0.31,0.52,0.301447758589351,26,reviewed,mb,mb
2023-06-15T17:20:52.086Z,28.3514,52.3417,15.624,4.2,mb,50,156,4.843,0.87,us,us7000k8q0,2023-06-15T18:08:33.040Z,"58 km SSW of Fīrūzābād, Iran",earthquake,7.34,5.616,0.087,37,reviewed,us,us
2023-06-15T17:09:55.140Z,32.8241667,-115.589,10.61,1.16,ml,15,128,0.06458,0.16,ci,ci40486760,2023-06-15T20:25:25.464Z,"3km SW of Imperial, CA",earthquake,0.39,0.79,0.159,8,reviewed,ci,ci
2023-06-15T17:08:46.890Z,32.8166667,-115.5915,13.65,1.31,ml,22,91,0.05691,0.21,ci,ci40486744,2023-06-15T20:09:09.984Z,"4km SSW of Imperial, CA",earthquake,0.44,0.79,0.215,14,reviewed,ci,ci
2023-06-15T17:01:18.510Z,32.8198333,-115.5875,13.24,1.52,ml,28,63,0.06124,0.23,ci,ci40486728,2023-06-15T19:53:26.290Z,"4km SSW of Imperial, CA",earthquake,0.39,0.56,0.257,15,reviewed,ci,ci
2023-06-15T16:48:28.910Z,38.8215,-122.8093333,3.48,-0.06,md,16,67,0.001979,0.05,nc,nc73901416,2023-06-15T23:06:21.492Z,"7km NW of The Geysers, CA",earthquake,0.46,0.51,0.166,15,reviewed,nc,nc
2023-06-15T16:45:47.040Z,39.2283333,-123.4801667,7.69,1.82,md,22,65,0.09551,0.07,nc,nc73901411,2023-06-15T22:29:11.938Z,"23km SSW of Willits, CA",earthquake,0.15,0.57,0.181,30,reviewed,nc,nc
2023-06-15T16:42:48.760Z,38.8264999,-122.7805023,1.33,0.39,md,8,83,0.009172,0.02,nc,nc73901406,2023-06-15T16:44:25.310Z,"5km W of Cobb, CA",earthquake,0.44,1.18,0.18,8,automatic,nc,nc
2023-06-15T16:41:38.230Z,38.8236667,-122.787,0.89,2.34,md,70,21,0.0115,0.07,nc,nc73901401,2023-06-16T00:36:12.704Z,"6km W of Cobb, CA",earthquake,0.1,0.15,0.17,62,reviewed,nc,nc
2023-06-15T16:39:01.255Z,62.2669,-150.0599,32.6,1.2,ml,,,,0.65,ak,ak0237msywod,2023-06-15T16:41:01.901Z,"6 km SSE of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2023-06-15T16:38:31.840Z,45.9191666666667,-112.241,-2,1.54,ml,11,115,0.02479,0.14,mb,mb90018378,2023-06-15T19:56:53.010Z,"12 km WNW of Whitehall, Montana",quarry blast,0.57,31.61,0.131881841899655,13,reviewed,mb,mb
2023-06-15T16:30:58.615Z,62.8593,-150.3677,92,1.1,ml,,,,0.35,ak,ak0237msx3np,2023-06-15T16:34:00.708Z,"45 km NNE of Petersville, Alaska",earthquake,,1,,,automatic,ak,ak
2023-06-15T16:23:20.090Z,35.3725,-118.5028333,2,1.23,ml,21,80,0.1052,0.16,ci,ci40486696,2023-06-15T18:26:56.822Z,"24km S of Bodfish, CA",earthquake,0.31,0.55,0.188,15,reviewed,ci,ci
2023-06-15T16:21:54.210Z,32.9736667,-116.2565,11.45,0.55,ml,10,109,0.04376,0.17,ci,ci40486688,2023-06-15T19:20:16.301Z,"22km SSW of Ocotillo Wells, CA",earthquake,0.4,0.58,0.251,5,reviewed,ci,ci
2023-06-15T16:14:35.000Z,35.47983333,-98.02116667,6.43,2.06,ml,51,65,0.05578905228,0.54,ok,ok2023lqsd,2023-06-15T16:58:32.511Z,"8 km SW of El Reno, Oklahoma",earthquake,,1.3,0.22,17,reviewed,ok,ok
